dma_name,principal_city,hardness_mgl,demand_t1,demand_t2,demand_t3,demand_t4,population,median_income,hardness_source,precision_flag
"Dayton, OH",Dayton,130,,,,,1245500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Denver, CO",Denver,90,,,,,4515675,103000,https://www.denverwater.org/your-water/water-quality/water-hardness,precise
"Des Moines-Ames, IA",Des Moines,130,,,,,1201375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Detroit, MI",Detroit,100,,,,,4851875,70500,https://dropconnect.com/water-hardness-in-michigan-cities/,approximate
"Dothan, AL",Dothan,150,,,,,271925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Duluth, MN-Superior, WI",Duluth,50,,,,,449275,,https://www.duluthmn.gov/public-works-utilities/utilities/water/,approximate
"El Paso, TX",El Paso,171,,,,,962700,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Elmira, NY",Elmira,75,,,,,235075,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Erie, PA",Erie,120,,,,,378125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Eugene, OR",Eugene,70,,,,,640050,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Eureka, CA",Eureka,60,,,,,149175,,https://www.hbmwd.com/water-quality,approximate
"Evansville, IN",Evansville,250,,,,,726975,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Fargo-Valley City, ND",Fargo,130,,,,,673275,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Flint-Saginaw-Bay City, MI",Flint,120,,,,,1146775,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Fresno-Visalia, CA",Fresno,108,,,,,1590650,70000,https://dropconnect.com/water-hardness-in-california-cities/,precise
"Ft. Myers-Naples, FL",Fort Myers,103,,,,,1604625,76000,https://dropconnect.com/water-hardness-in-florida-cities/,approximate
"Ft. Smith-Fayetteville-Springdale-Rogers, AR",Ft. Smith,60,,,,,881025,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Ft. Wayne, IN",Ft. Wayne,250,,,,,726300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Gainesville, FL",Gainesville,140,,,,,366400,,https://dropconnect.com/water-hardness-in-florida-cities/,approximate
"Glendive, MT",Glendive,95,,,,,10925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Grand Junction-Montrose, CO",Grand Junction,185,,,,,202725,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Grand Rapids-Kalamazoo-Battle Creek, MI",Grand Rapids,140,,,,,2002575,78000,https://www.grandrapidsmi.gov/Government/Departments/Water-System,approximate
"Great Falls, MT",Great Falls,95,,,,,165975,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Green Bay-Appleton, WI",Green Bay,140,,,,,1197425,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Greensboro-High Point-Winston Salem, NC",Greensboro,30,,,,,1917450,62000,https://www.greensboro-nc.gov/departments/water-resources/water-system/monthly-water-quality-reports,approximate
"Greenville-New Bern-Washington, NC",Greenville,120,,,,,798375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",Greenville,10,,,,,2469350,67000,https://www.greenvillewater.com/water-resources/water-quality,approximate
"Greenwood-Greenville, MS",Greenwood,115,,,,,149950,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Harlingen-Weslaco-Brownsville-McAllen, TX",Harlingen,77,,,,,1070600,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Harrisburg-Lancaster-Lebanon-York, PA",Harrisburg,70,,,,,2005900,79000,https://capitalregionwater.com/water-quality/,approximate
"Harrisonburg, VA",Harrisonburg,120,,,,,252300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Hartford & New Haven, CT",Hartford,20,,,,,2652275,96000,https://themdc.org/water-quality/,approximate
"Hattiesburg-Laurel, MS",Hattiesburg,115,,,,,285400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Helena, MT",Helena,95,,,,,70275,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Houston, TX",Houston,136,,,,,6993550,81000,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,precise
"Huntsville-Decatur (Florence), AL",Huntsville,150,,,,,1130575,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Idaho Falls-Pocatello, ID",Idaho Falls,100,,,,,370450,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Indianapolis, IN",Indianapolis,280,,,,,3080525,79000,https://www.citizensenergygroup.com/My-Home/Utility-Services/Water,approximate
"Jackson, MS",Jackson,115,,,,,847925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Jackson, TN",Jackson,130,,,,,249350,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Jacksonville, FL",Jacksonville,260,,,,,2100850,78000,https://dropconnect.com/water-hardness-in-florida-cities/,precise
"Johnstown-Altoona, PA",Johnstown,120,,,,,713800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Jonesboro, AR",Jonesboro,60,,,,,223500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Joplin, MO-Pittsburg, KS",Joplin,200,,,,,388100,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Kansas City, MO",Kansas City,110,,,,,2584200,83000,https://www.kcwater.us/water-quality/,approximate
"Knoxville, TN",Knoxville,100,,,,,1460250,70000,https://www.kub.org/about/water-quality,approximate
"La Crosse-Eau Claire, WI",La Crosse,140,,,,,560300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Lafayette, IN",Lafayette,250,,,,,186550,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
